Character,Race,Words,Gender
Aragorn,Man,3,Male
Gandalf,Wizard,111,Male
Gimli,Dwarf,23,Male
Grima Wormtongue,Man,2,Male
Saruman,Wizard,301,Male
Theoden,Man,98,Male
