Character,Race,Words,Gender
Damrod,Man,1,Male
Faramir,Man,66,Male
Gandalf,Wizard,34,Male
Gondor Man,Man,17,Male
Gothmog,Orc,13,Male
Irolas,Man,13,Male
Madril,Man,8,Male
Pippin,Hobbit,15,Male
