Character,Race,Words,Gender
Bilbo,Hobbit,56,Male
Elrond,Elf,6,Male
Frodo,Hobbit,132,Male
Galadriel,Elf,17,Female
Gandalf,Wizard,42,Male
Sam,Hobbit,14,Male
