Character,Race,Words,Gender
Aragorn,Man,26,Male
Eomer,Man,89,Male
Eowyn,Man,56,Female
Gimli,Dwarf,12,Male
Grimhold,Man,9,Male
Legolas,Elf,21,Male
Merry,Hobbit,12,Male
Rohan Warrior,Man,30,Male
Theoden,Man,24,Male
