Character,Race,Words,Gender
Aragorn,Man,20,Male
Gandalf,Wizard,255,Male
Legolas,Elf,22,Male
Merry,Hobbit,135,Male
Pippin,Hobbit,104,Male
Theoden,Man,22,Male
