Character,Race,Words,Gender
Aragorn,Man,23,Male
Gandalf,Wizard,32,Male
Gimli,Dwarf,5,Male
Merry,Hobbit,1,Male
Mouth Of Sauron,Orc,87,Male
Pippin,Hobbit,5,Male
