Character,Race,Words,Gender
Frodo,Hobbit,17,Male
Gaffer,Hobbit,21,Male
Hobbits,Hobbit,53,Male
Merry,Hobbit,53,Male
Pippin,Hobbit,61,Male
Rosie,Hobbit,3,Female
Sam,Hobbit,10,Male
Sandyman,Hobbit,17,Male
Ted,Hobbit,55,Male
