Character,Race,Words,Gender
Aragorn,Man,40,Male
Boromir,Man,220,Male
Elrond,Elf,167,Male
Frodo,Hobbit,24,Male
Gandalf,Wizard,85,Male
Gimli,Dwarf,38,Male
Legolas,Elf,34,Male
Man,Man,4,Male
Merry,Hobbit,24,Male
Pippin,Hobbit,18,Male
Sam,Hobbit,8,Male
Voice Of The Ring,Wizard,12,Male
