Character,Race,Words,Gender
Aragorn,Man,102,Male
Frodo,Hobbit,59,Male
Gandalf,Wizard,34,Male
Gimli,Dwarf,12,Male
Legolas,Elf,15,Male
Sam,Hobbit,50,Male
