Character,Race,Words,Gender
Bilbo,Hobbit,326,Male
Frodo,Hobbit,32,Male
Gandalf,Wizard,12,Male
Hobbits,Hobbit,8,Male
Lobelia Sackville-Baggins,Hobbit,1,Female
Merry,Hobbit,19,Male
Mrs. Bracegirdle,Hobbit,2,Female
Pippin,Hobbit,15,Male
Proudfoot,Hobbit,1,Male
Sam,Hobbit,7,Male
