Character,Race,Words,Gender
Aragorn,Man,34,Male
Gimli,Dwarf,14,Male
Haldir,Elf,37,Male
Haleth,Man,23,Male
Legolas,Elf,24,Male
Rohan Warrior,Man,17,Male
Theoden,Man,4,Male
