Character,Race,Words,Gender
Aragorn,Man,59,Male
Eowyn,Man,24,Female
Freda,Man,3,Female
Gandalf,Wizard,165,Male
Gimli,Dwarf,21,Male
Hama,Man,29,Male
Theoden,Man,49,Male
