Character,Race,Words,Gender
Aragorn,Man,69,Male
Gamling,Man,9,Male
Gimli,Dwarf,51,Male
Legolas,Elf,5,Male
Rohan Maiden,Man,2,Female
Theoden,Man,206,Male
